country,city,location,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en,coordinates.lon,coordinates.lat
AT,Amt der Niederösterreichischen Landesregierung,Weiz Birkfelder Stra�e,PM10,EEA Austria,µg/m³,0.0,2017-07-20 19:00:00,Austria,15.628333,47.21722399946486
CL,Quilicura,Quilicura,O3,Chile - SINCA,µg/m³,0.0,2017-06-28 15:00:00,Chile,-70.723792612552,-33.349626928347
DE,Augsburg,Schleswig,O3,EEA Germany,µg/m³,24.6,2017-01-06 09:00:00,Germany,9.549379,54.5273
AT,Amt der Niederösterreichischen Landesregierung,Liezen Alte Gasse 8,NO2,EEA Austria,µg/m³,0.0,2017-07-20 19:00:00,Austria,14.243611111111111,47.56722222168765
AT,Amt der Niederösterreichischen Landesregierung,St. Veit a. d. Glan Hauptbahnhof,PM10,EEA Austria,µg/m³,0.0,2017-05-11 19:00:00,Austria,14.365833333333335,46.77111099946426
CL,Rancagua,Rancagua I,O3,Chile - SINCA,µg/m³,0.0,2017-06-28 16:00:00,Chile,-70.713919225517,-34.162314609087
CL,Talca,Universidad de Talca,SO2,Chile - SINCA,µg/m³,0.0,2017-06-28 15:00:00,Chile,-71.633396474869,-35.406582744695
CL,Catemu,Loncura,NO2,Chile - SINCA,µg/m³,17.86,2017-03-18 11:00:00,Chile,-71.533019680176,-32.795151048047
FR,MARCQ-EN-BARŒUL,Marcq CTM,NO2,eea,µg/m³,23.25,2017-07-18 20:00:00,France,3.076560000045331,50.6700299997373
DE,Karlsruhe,Karlsruhe-Nordwest,SO2,eea,µg/m³,3.0,2017-01-06 09:00:00,Germany,8.355627999838132,49.02859400001384
DE,Augsburg,Augsburg/LfU,SO2,eea,µg/m³,1.52,2017-09-28 12:00:00,Germany,10.90305099988239,48.32601300022512
TR,Karabük,Kardemir 1,NO2,Turkey,µg/m³,42.0,2017-12-14 11:00:00,Turkey,32.657684,41.193515
TR,Adana,Valilik,SO2,Turkey,µg/m³,3.0,2017-07-20 21:00:00,Turkey,35.3124388,36.999171
TR,Adana,Çatalan,PM10,Turkey,µg/m³,34.0,2017-07-20 21:00:00,Turkey,35.2619539,37.1864029
TR,Kahramanmaraş,Elbistan,PM10,Turkey,µg/m³,64.0,2017-07-20 21:00:00,Turkey,37.1983477297733,38.2038482508205
US,GBU,GBUAPCD EBAM @ Alpin,PM2.5,AirNow,µg/m³,1.0,2017-11-16 19:00:00,United States,-119.807603,38.766299
US,Reno-Sparks,Incline,O3,AirNow,ppm,0.025,2017-10-19 19:00:00,United States,-119.9564,39.2517
US,MT1,Clearwater,PM2.5,AirNow,µg/m³,7.0,2017-10-05 13:00:00,United States,-113.384844,46.998809
US,037,Mobile_Cle Elum,PM2.5,AirNow,µg/m³,0.0,2017-09-01 18:00:00,United States,-120.957842,47.197888
